0	0	0	0	0	0	0
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	0	0	0	129
4	0	0	0	0	0	0
5	0	0	0	0	0	0
6	0	0	0	0	0	0
7	0	0	0	0	0	0
8	0	0	0	0	0	0
9	0	0	0	0	0	0
10	0	0	0	0	0	0
11	0	0	0	0	0	0
12	0	0	0	0	0	0
13	0	0	0	0	0	0
14	0	0	0	0	0	0
15	0	0	0	0	0	0
16	0	0	34	0	0	0
17	0	0	0	0	0	1
18	0	0	0	0	0	0
19	0	0	0	0	0	0
20	0	0	0	0	0	0
21	0	0	0	0	0	0
22	0	0	0	0	0	0
23	0	0	0	0	0	0
24	0	0	0	0	0	0
25	0	20	0	0	0	0
26	0	0	0	0	0	37
27	0	0	0	0	0	0
28	0	0	0	0	0	0
29	0	0	0	0	0	0
30	0	0	0	0	0	0
31	0	0	0	0	0	0
32	0	0	0	0	0	0
33	0	0	0	0	0	0
34	0	0	22	0	0	0
35	0	0	0	0	0	15
36	0	0	0	0	0	5
37	0	0	0	0	0	2
38	0	0	0	0	0	0
39	0	0	0	0	0	0
40	0	0	0	0	0	0
41	0	0	0	0	0	0
42	0	0	0	0	0	0
43	0	0	0	0	0	0
44	0	0	0	0	0	0
45	0	0	0	0	0	0
46	0	0	0	0	0	0
47	0	0	7	0	0	1
48	0	0	16	0	0	11
49	0	0	0	0	0	0
50	0	0	0	0	0	0
51	0	0	0	0	0	2
52	0	0	0	0	0	0
53	0	0	0	0	0	0
54	0	0	0	0	0	0
55	0	0	0	0	0	2
56	0	0	0	0	0	1
57	0	0	0	0	0	0
58	0	0	0	0	0	2
59	0	0	0	0	0	0
60	0	0	0	0	0	2
61	0	0	0	0	0	1
62	0	0	16	0	0	2
63	0	0	5	0	0	38
64	0	0	0	0	0	0
65	0	0	0	0	0	0
66	0	0	0	0	0	1
67	0	0	0	0	0	0
68	0	0	0	0	0	0
69	0	0	0	0	0	1
70	0	0	0	0	0	0
71	0	0	0	0	0	0
72	0	0	0	0	0	2
73	0	0	0	0	0	1
74	0	0	0	0	0	2
75	0	0	0	0	0	5
76	0	0	0	0	0	0
77	0	0	0	0	0	7
78	0	0	0	0	0	0
79	0	0	0	0	0	0
80	0	0	0	0	0	0
81	0	0	0	0	0	0
82	0	0	0	0	0	0
83	0	0	28	0	0	0
84	0	0	0	0	0	32
85	0	0	0	0	0	0
86	0	0	0	0	0	1
87	0	0	0	0	0	7
88	0	0	0	0	0	0
89	0	0	0	0	0	0
90	0	0	0	0	0	0
91	0	0	0	0	0	0
92	0	0	0	0	0	3
93	0	0	0	0	0	0
94	0	0	0	0	0	0
95	0	0	0	0	0	2
96	0	0	0	0	0	1
97	0	0	0	0	0	1
98	0	0	0	0	0	1
99	0	0	0	0	0	1
100	0	0	0	0	0	0
101	0	0	0	0	0	1
102	0	0	0	0	0	1
103	0	0	0	0	0	0
104	0	0	0	0	0	0
105	0	0	21	0	0	2
106	0	0	6	0	0	23
107	0	0	0	0	0	16
108	0	0	0	0	0	0
109	0	0	0	0	0	0
110	0	0	0	0	0	0
111	0	0	0	0	0	0
112	0	0	0	0	0	0
113	0	0	0	0	0	0
114	0	0	0	0	0	0
115	0	0	0	0	0	0
116	0	0	0	0	0	0
117	0	0	0	0	0	0
118	0	0	0	0	0	0
119	0	0	0	0	0	1
120	0	0	0	0	0	0
121	0	0	0	0	0	2
122	0	0	0	0	0	2
123	0	0	0	0	0	0
124	0	0	0	0	0	0
125	0	0	0	0	0	0
126	0	0	24	0	0	0
127	0	0	0	0	0	29
128	0	0	0	0	0	4
129	0	0	0	0	0	6
130	0	0	0	0	0	0
131	0	0	0	0	0	0
132	0	0	0	0	0	0
133	0	0	0	0	0	5
134	0	0	0	0	0	0
135	0	0	0	0	0	5
136	0	0	0	0	0	5
137	0	0	0	0	0	0
138	0	0	0	0	0	1
139	0	0	0	0	0	0
140	0	0	0	0	0	0
141	0	0	0	0	0	0
142	0	0	0	0	0	2
143	0	0	0	0	0	0
144	0	0	0	0	0	1
145	0	0	0	0	0	0
146	0	0	23	0	0	0
147	0	0	0	0	0	0
148	0	0	0	0	0	0
149	0	0	0	0	0	0
150	0	0	0	0	0	0
151	0	0	0	0	0	0
152	0	0	0	0	0	0
153	0	0	0	0	0	0
154	0	0	0	0	0	0
155	0	0	0	0	0	0
156	0	0	20	0	0	0
157	0	17	0	0	0	0
158	0	0	0	0	0	35
159	0	0	0	0	0	0
160	0	0	0	0	0	0
161	0	0	0	0	0	0
162	0	0	0	0	0	0
163	0	0	0	0	0	0
164	0	0	0	0	0	0
165	0	0	0	0	0	0
166	0	0	0	0	0	0
167	0	0	0	0	0	0
168	0	0	0	0	0	0
169	0	0	0	0	0	0
170	0	0	0	0	0	0
171	0	0	0	0	0	0
172	0	0	30	0	0	0
173	0	0	0	0	0	17
174	0	0	0	0	0	0
175	0	0	0	0	0	0
176	0	0	0	0	0	0
177	0	0	0	0	0	0
178	0	0	0	0	0	0
179	0	0	0	0	0	0
180	0	0	0	0	0	0
181	0	0	0	0	0	0
182	0	0	0	0	0	0
183	0	0	0	0	0	0
184	0	0	0	0	0	0
185	0	0	0	0	0	2
186	0	0	0	0	0	1
187	0	0	0	0	0	0
188	0	0	0	0	0	0
189	0	0	9	0	0	0
190	0	0	18	0	0	52
191	0	0	0	0	0	10
192	0	0	0	0	0	0
193	0	0	0	0	0	0
194	0	0	0	0	0	0
195	0	0	0	0	0	0
196	0	0	0	0	0	0
197	0	0	0	0	0	0
198	0	0	0	0	0	5
199	0	0	0	0	0	0
200	0	0	0	0	0	0
201	0	0	0	0	0	0
202	0	0	0	0	0	1
203	0	0	0	0	0	2
204	0	0	0	0	0	1
205	0	0	0	0	0	2
206	0	0	0	0	0	0
207	0	0	0	0	0	3
